method,cluster_key,n_clusters,silhouette_score,davies_bouldin_index,calinski_harabasz_index,composite_score
kmeans,kmeans_k2,2,0.20768795907497406,1.9068023512717285,493.66660936034975,0.8865034771844712
kmeans,kmeans_k3,3,0.19867180287837982,1.4564078158239067,382.6128197591272,0.8657334098351139
kmeans,kmeans_k4,4,0.18609753251075745,1.6984073029902147,353.454328306846,0.7470999938127489
kmeans,kmeans_k5,5,0.1909942626953125,1.732191836133119,341.37436088007667,0.7368788614290808
kmeans,kmeans_k6,6,0.1659875363111496,2.1054110483840858,296.00001299166047,0.5411811636763679
leiden,leiden_res0.3,5,0.15379586815834045,2.167470277405864,252.45262457143036,0.4538980416373568
kmeans,kmeans_k9,9,0.12820713222026825,2.1682330818096194,215.46433023012096,0.3594247380358049
kmeans,kmeans_k8,8,0.13014376163482666,2.296799921939493,237.784373242295,0.35428542298453736
leiden,leiden_res0.5,6,0.15362431108951569,2.4499396122710775,222.64263343088598,0.3516109474717726
kmeans,kmeans_k7,7,0.12791003286838531,2.419071341087264,266.22170614746426,0.3478873493236489
leiden,leiden_res0.8,8,0.12979821860790253,2.460628737516176,181.88826168119311,0.25462182641315134
leiden,leiden_res1.0,9,0.06296136975288391,2.7791929381483698,204.88899520090104,0.05139202502214574
kmeans,kmeans_k10,10,0.056546323001384735,2.7650498459439934,197.72488961364206,0.03349379148483802
leiden,leiden_res1.5,11,0.05578368902206421,2.6914619298453326,170.31467631939134,0.022107649187161498
